情绪,专家意见
,0
0,你好，这个时间跨度比较大，一切皆有可能，但你需要考虑你的资金能否承受向下的波动的风险。(2018-01-25 22:07:22)
0,你好，欧美上方压力关注1.2550区域。(2018-01-25 22:08:49)
0,你好，黄金建议回踩再进场，关注1253~1255区域。(2018-01-25 22:08:21)
,你好，行情很少一口气走到底不休息的，中间都要经历反反复复的过程。(2018-01-25 22:05:58)
0,"你好，欧美目前不要考虑逆势抓顶。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-25 21:55:34)"
0,你好，21:30的加拿大零售销售数据月率并未能对加元形成打压，晚间反弹到1.2360的可能性比较小了。(2018-01-25 21:53:56)
,你好，目前市场关注的焦点在欧元，黄金也在动，只不过幅度比较小。(2018-01-25 21:54:40)
1,你好，德拉基表示强劲的经济势头提振了通胀上扬的信心，核心通胀将在中期逐步上扬。(2018-01-25 21:46:40)
,你好，澳美策略做多为主，但不考虑追单，尽量回调进场。(2018-01-25 21:41:34)
0,你好，晚间欧洲央行公布利率决议以及德拉基召开新闻发布会，如果今晚还跌不动就可以直接换。(2018-01-25 21:36:06)
,你好，目前市场还在等待德拉基召开新闻发布会，后续波动会加大，欧元作为美元指数中占比最大的品种，对美元指数也会有较大影响。(2018-01-25 21:33:22)
0,"你好，加元人民币目前支撑就在5.12附近，跌破此区域才有机会进一步下探5.0平台。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-25 21:13:22)"
0,你好，欧人近期位于8.0下方横盘震荡，后续兑换可关注7.75以及7.7附近的兑换机会。(2018-01-25 21:11:58)
0,你好，可以在英镑和加元回调后择机配置。(2018-01-25 21:09:40)
1,你好，如果美加反弹1.2360都破不了走势仍然偏空，将进一步向下方支撑发起冲击。(2018-01-25 21:09:00)
,你好，先换一年学费就可以。(2018-01-25 21:02:37)
,"你好，欧央行宣布维持主要再融资利率于0%水平不变，维持隔夜存款利率-0.4%不变，维持隔夜贷款利率0.25%不变，欧元兑美元短线陷入震荡。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-25 20:56:16)"
1,你好，英镑后续回踩至8.9附近就可以着手进行兑换，逢低分批换。(2018-01-25 20:44:44)
1,你好，英国脱欧后英镑已经经历了一波3000点的快速下跌行情，而且这一波下跌是从2014年1.7上方高点开始的，目前行情是对于前期大幅下跌的反弹修正。(2018-01-25 20:39:11)
1,你好，美加日线级别重要压力位于1.2580~1.2660区域，如果有机会反弹到此区域可考虑布局波段空单。(2018-01-25 20:42:22)
,0
,0
1,你好，美元指数短线暂时止跌出现调整走势，直盘品种也均出现一定幅度回调，但后续短线操作仍然以高空美元为主，镑美中期仍然看涨。(2018-01-25 20:30:51)
0,"你好，美加中期还是看跌，短线反弹后可寻找高点进场布局空单。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-25 20:27:57)"
0,你好，今天就可以找低点换，下方支撑就在5.12附近。(2018-01-25 20:29:18)
0,你好，黄金短线支撑位于1355区域，这个位置跌破后才有机会下探1350区域。(2018-01-25 20:25:09)
0,你好，澳元5.1可以先换一部分，剩余部分关注5.07附近。(2018-01-25 20:23:20)
1,你好，美加晚间反弹高点关注1.2360区域。(2018-01-25 20:19:09)
0,你好，如果是近期就要使用的话建议短线有反弹就进行结汇，美元走势仍然看空。(2018-01-25 20:19:48)
0,"你好，德拉基晚间21:30才召开新闻发布会，目前不建议去赌行情，黄金还是建议逢低做多为主。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-25 20:12:14)"
0,你好，美日空单建议反弹后进场，关注上方109.50区域压力。(2018-01-25 20:10:27)
1,你好，镑美回调做多首先关注1.4220区域平台。(2018-01-25 20:08:31)
0,你好，澳美要做空最好等0.8050破位后选择右侧进场。(2018-01-25 20:04:47)
,专家[周筱冰]答：
0,你好 镑美趋势看涨不变，多单可以继续持有，目标看到1.429/1.433，更多行情交流可加微信zsmlili1818(2018-01-25 17:10:36)
,你好 市场预测利率决议不变，相对影响会减小，美元小幅反弹是有这个可能，但是不会改变趋势(2018-01-25 17:01:23)
1,你好 欧美趋势还没有转变，不建议做空(2018-01-25 16:51:16)
1,你好 可以考虑结汇一半，剩余部分看情况再结汇(2018-01-25 16:49:39)
1,你好 美国官员讲话利好美元，但只能是暂时的，无法改变趋势(2018-01-25 16:44:23)
1,你好 空单可以继续持有，回落看108.5(2018-01-25 16:43:15)
1,你好 黄金现在回踩1357，一旦得到有效支撑将继续上涨(2018-01-25 16:31:12)
0,你好 美加日内再次反弹1.235的可能性不大，上方关注1.233附近，黄金已经到了1357稳健进场点位，空仓的可以布局做多，目标看1364，止损1354(2018-01-25 16:30:27)
,你好 更多行情交流可加微信zsmlili1818，另外今晚对交易知识有课程，需要的也可以添加(2018-01-25 16:26:50)
,0
,0
0,你好 黄金趋势上涨并没有改变，出现回调是正常的，之前提示了1360是激进做多点位，稳健在1357布局(2018-01-25 16:23:19)
1,你好 黄金可以关注1357附近的支撑，回踩可布局做多，有多单的继续持有(2018-01-25 16:22:00)
0,你好 美元下看88.5/88.0，趋势不变就继续看空为主(2018-01-25 16:07:41)
,你好 可以考虑本周兑换(2018-01-25 16:06:46)
,你好 可以考虑兑换英镑(2018-01-25 15:54:19)
,你好 可以考虑这样操作(2018-01-25 15:37:09)
1,你好之前已经回复过你了 激进者现价1.241轻仓可以做多，目标看1.245，稳健做多点位在1.238(2018-01-25 15:36:23)
1,你好 黄金刚刚在1359已经提示做多，现价可以考虑进场(2018-01-25 15:35:19)
0,你好 短期内跌破前期低点的可能性不大，长期看美加还会有较大下跌空间，还是有机会破1.205的(2018-01-25 15:34:54)
1,你好 先看今日高点1.432，突破看到1.435(2018-01-25 15:33:36)
,你好 本周可以考虑兑换(2018-01-25 15:32:57)
0,你好 激进交易者现价1.426可轻仓尝试做多，目标看到1.431，稳健进场点位在1.423(2018-01-25 15:32:42)
0,你好 激进者现价1.241轻仓可以做多，目标看1.245，稳健做多点位在1.238(2018-01-25 15:31:08)
0,你好 大幅波动明显不是正常现象，背后有其它国家的影子，如果跌破6.0会对经济不利，具体在这里也不多预测了(2018-01-25 15:29:36)
0,你好 中期这么大幅度的下跌还是有很大难度的，外汇需要的是稳定，一般在短期内很难出现太大的波动，第一季度到100可能性不大(2018-01-25 15:24:18)
1,你好 可以考虑暂时兑换英镑(2018-01-25 15:22:19)
1,你好 不要因为点位太高而去选择逆势做空，从走势看没有明显的下跌迹象，个人不建议做空(2018-01-25 15:21:32)
1,你好 只要上涨趋势不变就一直看涨，阻力都是用来突破的，另外激进交易者黄金现价1359可布局做多，目标看到1364/1369，止损1354，稳健做多点位1357(2018-01-25 15:19:18)
0,你好 美日现价可以进场做空，目标看到108.5(2018-01-25 15:16:12)
,你好 已经到月底了，本周五可以考虑兑换(2018-01-25 15:14:18)
,0
,0
,你好 可以考虑兑换欧元(2018-01-25 15:13:37)
1,你好 镑美从走势看没有明显的反转迹象，短期内到1.40下方的可能性不大(2018-01-25 15:12:32)
0,你好 美加日内高点就在1.235，预计不会再有新高，小幅反弹可做空(2018-01-25 15:06:10)
0,你好 欧美激进可在1.241做多，稳健1.238做多，黄金在1360小仓位尝试，稳健在1357(2018-01-25 14:58:00)
0,你好 美日现价109.0轻仓可以尝试追空，目标看到108.5(2018-01-25 14:56:30)
1,你好 如果可以长期持有1年以上，可以选择继续持有(2018-01-25 15:13:14)
0,你好 美日连续加速下跌，多单风险很大，如果仓位比较重的建议减仓，预计未来还会下跌，至于解套可以根据行情变化再择机布局，短期大幅上涨的可能性不大(2018-01-25 14:49:33)
