,index,-,专家意见
0,1,0,你好，这个时间跨度比较大，一切皆有可能，但你需要考虑你的资金能否承受向下的波动的风险。(2018-01-25 22:07:22)
1,2,0,你好，欧美上方压力关注1.2550区域。(2018-01-25 22:08:49)
2,3,0,你好，黄金建议回踩再进场，关注1253~1255区域。(2018-01-25 22:08:21)
3,5,0,"你好，欧美目前不要考虑逆势抓顶。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-25 21:55:34)"
4,6,0,你好，21:30的加拿大零售销售数据月率并未能对加元形成打压，晚间反弹到1.2360的可能性比较小了。(2018-01-25 21:53:56)
5,8,1,你好，德拉基表示强劲的经济势头提振了通胀上扬的信心，核心通胀将在中期逐步上扬。(2018-01-25 21:46:40)
6,10,0,你好，晚间欧洲央行公布利率决议以及德拉基召开新闻发布会，如果今晚还跌不动就可以直接换。(2018-01-25 21:36:06)
7,12,0,"你好，加元人民币目前支撑就在5.12附近，跌破此区域才有机会进一步下探5.0平台。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-25 21:13:22)"
8,13,0,你好，欧人近期位于8.0下方横盘震荡，后续兑换可关注7.75以及7.7附近的兑换机会。(2018-01-25 21:11:58)
9,14,0,你好，可以在英镑和加元回调后择机配置。(2018-01-25 21:09:40)
10,15,1,你好，如果美加反弹1.2360都破不了走势仍然偏空，将进一步向下方支撑发起冲击。(2018-01-25 21:09:00)
11,18,1,你好，英镑后续回踩至8.9附近就可以着手进行兑换，逢低分批换。(2018-01-25 20:44:44)
12,19,1,你好，英国脱欧后英镑已经经历了一波3000点的快速下跌行情，而且这一波下跌是从2014年1.7上方高点开始的，目前行情是对于前期大幅下跌的反弹修正。(2018-01-25 20:39:11)
13,20,1,你好，美加日线级别重要压力位于1.2580~1.2660区域，如果有机会反弹到此区域可考虑布局波段空单。(2018-01-25 20:42:22)
14,23,1,你好，美元指数短线暂时止跌出现调整走势，直盘品种也均出现一定幅度回调，但后续短线操作仍然以高空美元为主，镑美中期仍然看涨。(2018-01-25 20:30:51)
15,24,0,"你好，美加中期还是看跌，短线反弹后可寻找高点进场布局空单。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-25 20:27:57)"
16,25,0,你好，今天就可以找低点换，下方支撑就在5.12附近。(2018-01-25 20:29:18)
